Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,3月,1至3月,3月,1至3月,3月,1至3月,进出口,出口,进口
黄石经济技术开发区,82625,302944,57161,152886,25464,150058,152.8,35.9,1945.0
十堰市,139704,394576,134332,382800,5372,11776,23.2,26.0,-28.6
十堰经济技术开发区,18468,74791,18270,72113,198,2678,471.9,455.3,2843.9
襄阳市,933963,1294451,914860,1254066,19103,40385,12.4,24.1,-71.4
襄阳经济技术开发区,17821,24119,16840,21196,981,2923,277.8,275.3,297.4
襄阳高新技术产业开发区,57059,137285,43189,111279,13869,26006,-31.1,-13.1,-63.4
枣阳经济技术开发区,156838,206635,155701,204918,1137,1717,7.5,7.0,137.8
鄂州市,69007,303320,44737,208121,24270,95200,60.2,91.6,18.0
鄂州葛店经济技术开发区,12993,37659,11905,36070,1088,1589,-12.3,-15.6,751.2
孝感市,160114,486962,142827,414879,17288,72083,6.5,4.7,18.0
汉川经济技术开发区,26763,62335,26293,61405,471,930,159.5,159.1,191.5
荆州市,382229,953774,288550,745644,93679,208130,8.1,21.9,-23.2
荆州经济技术开发区,94302,302873,68540,232429,25762,70444,24.1,19.7,41.1
湖南省,4542704,12365080,2756168,7599183,1786536,4765897,-7.3,1.1,-18.1
长沙市,1989633,6296163,1331960,4259895,657672,2036268,4.7,20.8,-18.0
长沙经济技术开发区,246775,890081,195182,752088,51593,137993,51.1,62.2,10.2
长沙高新技术产业开发区,404265,1342905,271556,822333,132710,520573,2.3,-1.9,9.7
浏阳经济技术开发区,29674,82755,22507,57606,7168,25149,-10.5,15.4,-40.9
株洲市,193906,549822,158207,423188,35699,126634,-7.6,-8.9,-3.2
株洲高新技术产业开发区,47222,144624,42190,132490,5033,12134,-17.9,-19.5,4.3
湘潭市,217549,676279,108270,347196,109279,329083,-36.3,-40.4,-31.3
湘潭经济技术开发区,88330,355768,63894,203956,24436,151811,-38.9,-41.1,-35.7
湘潭高新技术产业开发区,2634,6561,1337,3735,1297,2826,-92.7,-95.8,41.8
衡阳市,230878,647940,122562,318920,108316,329020,-17.0,1.6,-29.4
衡阳高新技术产业开发区,3073,5747,2753,5062,319,685,155.5,131.4,1012.9
岳阳市,455270,1084076,75355,199092,379915,884984,-2.9,-2.8,-3.0
岳阳经济技术开发区,3866,6471,2082,4172,1783,2300,-49.0,-24.3,-68.0
常德市,159225,381877,76211,202178,83014,179700,18.7,44.1,-0.9
常德经济技术开发区,79142,168574,9586,29244,69555,139330,20.3,65.7,13.7
常德高新技术产业开发区,28740,62781,28739,62780,1,1,134.0,133.9,798.5
益阳市,53028,154278,41811,131340,11216,22938,24.0,21.8,38.0
益阳高新技术产业开发区,2793,9338,1094,4445,1698,4893,-41.9,-53.8,-24.3
郴州市,696310,1276126,383973,656862,312337,619263,-14.7,-2.1,-24.9
郴州高新技术产业开发区,341917,525625,170778,248249,171139,277377,-2.3,-6.2,1.6
娄底市,90766,260074,35150,87899,55616,172175,-25.9,-16.7,-29.8
娄底经济技术开发区,56865,173543,11380,26513,45485,147031,-27.6,-50.1,-21.2
怀化市,167394,353828,150125,320052,17269,33777,9.3,4.3,101.2
怀化高新技术产业开发区,27704,40117,15012,21041,12692,19076,-18.3,-53.4,377.3
广东省,79415884,213877853,48578088,134062940,30837796,79814913,4.2,1.4,9.3
广州市,10473300,29429933,6871601,19171883,3601699,10258050,17.3,30.6,-1.5
广州经济技术开发区,1009554,2743891,470896,1266229,538658,1477662,5.2,12.6,-0.3
广州高新技术产业开发区,509899,1466308,360498,980724,149401,485584,-15.7,-8.8,-26.9
广州南沙新区,2606510,7952367,1426255,4643694,1180255,3308673,23.8,49.5,-0.2
深圳市,38704825,99010406,21852995,58550503,16851830,40459903,-2.8,-8.7,7.1
深圳科技工业园,75,603,21,265,54,337,70.9,135.8,40.4
珠海市,2997171,8112128,2008652,5464812,988519,2647316,15.7,11.2,26.5
珠海经济技术开发区,41893,118285,13958,44528,27935,73757,395.3,2434.9,233.3
珠海高新技术产业开发区,182188,484021,158824,423338,23363,60683,220.0,524.9,-27.3
横琴粤澳深度合作区,488590,1091868,303034,597260,185556,494608,101.2,90.3,116.3
汕头市,364002,1121111,283832,871913,80170,249198,-11.6,-13.2,-5.8
佛山市,4016690,11589522,3113121,9103399,903569,2486123,-11.7,-11.8,-11.1
佛山高新技术产业开发区,-,-,-,-,-,-,-,-,-
江门市,1606267,4715399,1381768,4044279,224499,671120,10.1,13.2,-5.7
湛江市,443623,1671843,175829,449791,267794,1222052,-10.5,-6.7,-11.9
湛江经济技术开发区,284138,1161060,85469,238357,198669,922703,52.0,-10.6,85.5
湛江高新技术产业开发区,-,-,-,-,-,-,-,-,-
茂名市,136784,364992,41241,119760,95544,245232,55.2,10.3,93.8
茂名高新技术产业开发区,4164,12278,3330,7976,834,4302,5.5,24.5,-17.8
惠州市,3419324,9437606,1869331,5060137,1549993,4377469,8.5,4.2,13.8
惠州高新技术产业开发区,1279035,3371357,855100,2257876,423935,1113481,10.2,9.2,12.2
阳江市,180968,533544,139353,419374,41615,114170,-5.3,5.8,-31.5
东莞市,12795638,35635431,7582266,21434859,5213373,14200572,21.2,12.9,36.5
东莞松山湖高新技术产业开发区,137369,388024,118309,319685,19060,68339,3.0,9.7,-19.8
中山市,2399925,6894847,2115109,6089661,284816,805186,10.5,12.1,-0.3
中山火炬高技术产业开发区,237,690,136,386,101,304,14.5,95.6,-25.0
广西壮族自治区,6195581,18733129,4174309,12553133,2021273,6179996,16.8,42.4,-14.4
南宁市,761607,2004719,364876,878470,396731,1126249,-4.6,3.3,-10.0
南宁高新技术产业开发区,19925,48121,10039,24830,9886,23290,-11.1,-33.6,39.3
桂林市,102322,290677,93611,263853,8711,26823,16.5,14.3,44.1
桂林新技术产业开发区,48424,132301,47273,128855,1151,3446,10.1,12.5,-38.0
北海市,210976,1284892,86643,947966,124333,336925,57.9,120.5,-12.2
崇左市,2633318,6530024,2447852,5979676,185467,550348,4.1,17.2,-53.0
防城港市,913978,3601114,311140,1443615,602838,2157499,58.9,429.1,8.2
海南省,2086373,6077672,781325,2128754,1305047,3948918,-5.2,-3.4,-6.2
海口市,780165,2104377,305110,699703,475055,1404674,13.8,21.0,10.5
海南国际科技工业园,12489,34428,5397,14512,7093,19916,-16.9,-34.5,3.3
儋州市,972139,2870051,324768,882832,647371,1987219,-11.7,9.7,-18.7
洋浦经济开发区,468589,1321673,224585,638041,244004,683633,17.3,9.4,25.8
重庆市,6638548,16513832,4823647,12115895,1814901,4397937,4.1,12.0,-13.0
重庆高新技术产业开发区,21465,63594,15656,47327,5809,16267,32.7,53.3,-4.7
重庆两江新区,2779859,6507178,1903114,4455595,876745,2051583,12.2,17.3,2.7
万州经济技术开发区,91728,272804,31997,101501,59731,171303,108.8,106.2,110.4
重庆经济技术开发区,77452,94584,75208,89331,2245,5253,10.3,160.2,-89.8
长寿经济技术开发区,36677,115547,23646,86994,13031,28553,97.1,76.6,205.2
四川省,9184504,25804451,5487757,15805527,3696747,9998923,7.6,6.5,9.6
成都市,7228909,20619630,3956343,11829385,3272565,8790245,11.9,12.9,10.6
成都经济技术开发区,130954,296788,55860,123500,75094,173288,-16.5,-50.9,66.9
成都高新技术产业开发区,5704040,15925003,2913068,8481318,2790973,7443684,24.2,36.1,13.0
泸州市,288654,724432,206887,518190,81767,206242,20.0,15.6,32.4
泸州高新技术产业开发区,145768,381181,123087,317443,22681,63737,0.5,11.4,-32.3
绵阳市,310405,1049257,237529,854497,72876,194760,27.8,39.9,-7.2
绵阳经济技术开发区,56095,216306,48576,177755,7519,38550,61.6,37.5,736.9
绵阳高新技术产业开发区,158385,443481,118595,364549,39791,78932,27.7,65.4,-37.8
